gene	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv
FKSG63	0	4	0	0	0	3.551	0	0	0
PFDN2	4	3	1	1	0	0.7065	4.3804	4.3804	0
MAPRE1	4	6	0	0	1	0.9911	0	0	1.796
ZNF432	9	15	1	0	2	0.6967	0.354	0.354	1.1459
SCUBE3	8	18	1	2	1	1.4521	2.3123	2.3123	1.2249
NEK5	7	21	2	1	3	1.2382	1.1213	1.1213	1.8361
CTNNBL1	7	12	2	1	2	0.8471	1.7205	1.7205	1.6168
MYL12A	2	6	1	0	1	1.2552	2.7035	2.7035	2.8434
PANX1	10	13	1	0	2	0.8406	0.7041	0.7041	2.2237
REPIN1	11	17	0	0	1	0.79	0	0	0.8191
PTER	6	10	0	0	1	1.0084	0	0	1.3136
NUDT5	0	4	0	0	1	1.3605	0	0	2.2738
EGR4	18	20	1	0	2	0.7229	0.9965	0.9965	1.5667
FNTA	0	6	0	0	1	1.5655	0	0	1.2683
KBTBD7	4	10	2	0	2	0.8862	2.4268	2.4268	1.4188
GNPDA1	1	1	1	0	0	0.2527	2.624	2.624	0
PTPN5	9	18	0	3	2	1.1763	1.7994	1.7994	1.8121
RPS4X	2	2	0	1	0	0.294	1.5477	1.5477	0
EIF5A2	0	3	0	0	1	1.2362	0	0	3.0652
SPDYE4	8	10	2	1	1	1.0766	2.2037	2.2037	1.9857
SLC1A6	23	33	1	0	2	1.2289	0.6217	0.6217	1.6276
C5orf54	0	11	0	0	1	1.8699	0	0	0.6398
ARL5B	1	3	0	0	1	1.1164	0	0	2.4806
MYO9A	8	51	3	2	3	1.6413	1.2901	1.2901	0.5787
CHRNA2	11	9	2	0	0	0.5309	1.6109	1.6109	0
TFIP11	8	13	4	0	0	0.7616	2.3608	2.3608	0
RECQL4	9	23	1	0	4	1.0074	0.5201	0.5201	1.5969
P4HB	3	11	1	0	2	1.5287	1.757	1.757	1.7377
NUDT2	0	0	0	0	0	0	0	0	0
U2AF1L4	0	7	0	0	0	2.5911	0	0	0
GALNT6	5	19	1	0	1	1.76	0.884	0.884	0.8726
PTPRE	15	21	2	1	3	0.8294	0.8377	0.8377	1.8169
KIAA1432	7	25	1	0	3	1.1253	0.3498	0.3498	0.9898
SPATA25	3	2	0	0	0	0.3041	0	0	0
MAP1LC3C	4	4	0	0	1	0.8155	0	0	2.6588
GLRX	1	0	0	0	0	0	0	0	0
RAD9B	3	7	0	0	1	0.9539	0	0	1.1087
ARHGAP11B	2	5	0	0	1	1.3493	0	0	2.1755
ERBB2IP	5	20	6	0	2	1.0132	2.2037	2.2037	0.67
ATP6V1C1	0	8	0	0	0	1.9813	0	0	0
SOCS5	1	11	2	0	1	1.694	3.5593	3.5593	0.9238
KCNK18	5	15	2	0	0	1.7578	3.6266	3.6266	0
AS3MT	3	2	1	0	0	0.2867	1.17	1.17	0
RBMX	1	9	1	0	2	1.0624	1.1798	1.1798	2.4306
PRKAA2	7	24	1	0	0	1.7728	0.7172	0.7172	0
MORC1	19	44	3	3	3	1.2732	1.1441	1.1441	1.5144
AC008132.1	0	0	0	0	0	0	0	0	0
KIAA0825	3	8	0	0	1	1.3751	0	0	1.4277
DENND4B	25	37	3	2	3	0.7425	1.107	1.107	1.0738
PTF1A	2	11	0	0	0	2.203	0	0	0
PLCB2	19	23	3	0	2	0.6288	0.7851	0.7851	0.7208
RENBP	3	9	0	0	1	1.3194	0	0	1.0965
CRCP	0	5	0	1	0	2.9143	4.1484	4.1484	0
GALNT5	5	25	1	2	2	1.6032	2.0201	2.0201	1.0278
WEE2	10	18	0	1	2	0.7602	0.4176	0.4176	1.508
DRD3	9	14	3	0	1	1.0824	2.7046	2.7046	1.1926
OR52I2	10	13	3	0	0	0.8336	3.1269	3.1269	0
CHRNA1	8	17	1	0	2	1.2687	0.8112	0.8112	2.0045
DDX26B	17	23	3	0	2	0.6693	0.685	0.685	1.1064
YPEL1	0	5	0	0	0	2.8905	0	0	0
MCEE	2	3	0	0	1	0.8129	0	0	2.8851
AC139100.2	0	0	0	0	0	0	0	0	0
TM9SF2	5	13	2	1	2	1.1545	2.1969	2.1969	1.5007
E2F2	2	11	1	0	1	1.9757	2.3662	2.3662	1.0661
CLIC5	6	10	0	0	1	0.8472	0	0	1.111
ASS1	6	9	1	0	2	0.8248	0.7701	0.7701	2.2703
C19orf68	12	17	0	0	1	0.8193	0	0	0.7995
GATSL2	0	0	0	0	0	0	0	0	0
PIK3R2	8	11	2	0	2	0.705	1.7533	1.7533	1.2837
ACHE	8	18	0	0	1	1.2003	0	0	0.7545
TBX2	8	24	0	1	2	1.5207	1.2519	1.2519	1.325
NOX4	13	21	2	3	2	1.0916	1.5062	1.5062	1.9452
KLHL11	6	13	1	0	3	0.7929	0.8117	0.8117	1.8432
TCTE3	0	3	0	0	1	1.2752	0	0	2.6456
SMG7	17	31	7	1	2	0.8777	1.6602	1.6602	0.8243
AMACR	6	11	1	0	2	1.0562	1.2093	1.2093	2.411
PNPLA5	9	21	1	0	1	1.5797	0.8824	0.8824	1.256
TRPM8	26	50	4	1	3	1.2975	1.1229	1.1229	1.2992
MAPK8IP2	10	15	0	0	0	0.6856	0	0	0
LMX1B	6	12	0	0	1	1.166	0	0	1.1526
MRPL42	1	3	0	0	1	1.2137	0	0	2.9837
GOLGA8T	2	10	0	0	0	1.4741	0	0	0
ZBTB12	1	8	0	0	2	1.381	0	0	1.7672
TMEM184B	4	5	2	0	0	0.6975	3.9321	3.9321	0
NPLOC4	4	12	3	1	0	1.2052	3.2675	3.2675	0
ELP6	2	6	0	0	1	1.4869	0	0	1.8525
RP11-366L20.2	2	3	0	0	1	0.9235	0	0	2.8025
TEKT2	3	11	1	0	2	1.2958	1.1265	1.1265	2.1872
TEF	6	7	0	0	1	0.6753	0	0	1.5152
ZNF439	6	10	0	0	0	0.7134	0	0	0
PDCD7	8	10	0	0	0	0.5833	0	0	0
RIOK1	2	10	1	2	1	1.3147	3.2205	3.2205	0.8543
TDRD5	16	55	6	2	1	1.4841	1.6659	1.6659	0.4712
CPQ	9	19	1	0	2	1.166	0.5964	0.5964	1.927
ADAM28	17	25	3	0	2	0.6998	0.624	0.624	1.2064
F10	14	16	0	0	0	0.7806	0	0	0
DCHS1	33	82	7	1	7	1.104	1.723	1.723	0.9978
GCNT1	2	14	1	0	1	1.9537	1.9951	1.9951	1.0383
LEPR	12	37	4	2	4	1.2097	1.4845	1.4845	1.472
CYP1A2	14	12	1	1	1	0.6046	1.4436	1.4436	0.7575
ZNHIT3	0	3	0	0	1	1.4079	0	0	2.8498
KIAA1429	7	41	4	1	4	1.4838	1.6993	1.6993	1.0596
ADA	5	6	0	0	1	0.7325	0	0	1.182
RASSF5	5	3	1	0	0	0.3635	1.6433	1.6433	0
MCF2	18	40	3	8	2	0.9782	1.6098	1.6098	0.9789
HOXD4	8	8	0	0	1	0.7245	0	0	1.5532
NEDD4	8	23	2	0	4	1.0013	0.676	0.676	1.6758
NUDT22	6	9	0	0	1	1.1257	0	0	1.5281
LEUTX	3	5	2	0	0	1.311	5.4308	5.4308	0
CETN3	1	2	0	0	1	0.7103	0	0	2.6688
CYSTM1	1	5	0	0	0	2.8246	0	0	0
OR2T3	14	14	2	0	1	0.8783	2.1891	2.1891	2.0727
PTGIS	13	15	2	0	2	0.8119	1.2536	1.2536	1.9868
WFDC2	4	1	0	0	0	0.2338	0	0	0
SLC44A1	7	11	1	2	2	0.7858	1.6725	1.6725	1.4645
OR2A2	13	18	1	0	0	1.8216	1.6979	1.6979	0
C7orf60	4	10	0	0	1	1.0395	0	0	1.1406
FRMPD2	13	39	3	1	4	1.2997	1.1881	1.1881	1.4375
BTN2A1	5	17	1	0	1	1.7972	1.1056	1.1056	0.9599
MYLK	34	52	3	5	3	0.7757	1.2384	1.2384	0.7889
SNRK	6	7	0	0	0	0.5189	0	0	0
MRPL43	2	3	0	0	1	0.6955	0	0	2.436
NOTUM	5	13	0	0	1	1.1371	0	0	0.7791
TOMM20	0	2	2	0	0	1.0129	5.5612	5.5612	0
KIAA1958	6	12	0	0	2	0.899	0	0	1.3383
CAMKK2	7	9	1	0	2	0.6584	0.7465	0.7465	1.7197
LPPR4	13	40	3	0	0	1.6489	1.459	1.459	0
DRD5	14	16	3	0	0	0.7648	2.6837	2.6837	0
ATP5J2	1	0	0	0	0	0	0	0	0
ZNF222	6	10	0	0	0	0.6786	0	0	0
ATG16L2	5	8	2	0	2	0.7872	1.9051	1.9051	1.561
CDH3	11	18	1	3	1	0.8631	2.3389	2.3389	0.6066
CRYGS	1	8	0	0	0	2.2341	0	0	0
OR1N1	7	19	0	0	0	1.6824	0	0	0
C12orf45	0	4	0	0	1	1.5055	0	0	2.4021
OR10G7	14	17	2	0	1	1.0137	2.9419	2.9419	1.5318
CD200	4	7	0	0	1	1.1828	0	0	1.4849
GLTP	2	4	1	0	1	1.162	3.4346	3.4346	2.3616
FAXC	7	7	0	0	0	0.5614	0	0	0
ELOVL4	3	12	2	1	0	1.8454	3.2032	3.2032	0
DCAF16	0	5	0	0	1	1.6985	0	0	1.8717
EGFLAM	19	51	5	0	3	1.311	1.2539	1.2539	1.3355
GPR144	12	30	0	1	2	1.3351	0.4982	0.4982	1.035
AHCTF1	14	47	4	1	7	1.0726	0.8627	0.8627	1.521
POM121L2	20	50	1	0	2	1.1732	0.3888	0.3888	0.9819
POLE3	1	3	0	0	1	1.1434	0	0	3.1612
FAM205A	13	19	1	0	1	0.6076	0.3515	0.3515	0.3879
RFWD2	5	18	3	1	1	1.5322	2.5659	2.5659	0.6912
RNASEH2A	3	11	0	0	0	1.8256	0	0	0
NR6A1	4	7	2	1	0	0.9474	3.5912	3.5912	0
GALK2	2	9	0	0	1	1.2698	0	0	0.992
SEC14L4	9	11	0	0	0	0.8363	0	0	0
TIE1	18	39	2	3	4	1.0672	1.5877	1.5877	1.4568
SLITRK2	28	49	5	0	3	1.0232	1.3666	1.3666	1.7767
CDK9	4	10	0	0	1	1.4646	0	0	1.1348
C12orf5	5	7	0	0	1	0.9657	0	0	1.9017
AKR1D1	7	22	2	1	0	1.839	2.0154	2.0154	0
POLR3GL	1	4	0	0	1	1.1328	0	0	2.3144
C1orf43	0	2	2	0	0	0.5274	3.5125	3.5125	0
CTH	3	8	0	0	1	1.0984	0	0	1.1742
PKM	6	12	0	0	1	1.0623	0	0	0.9979
LETM1	8	11	0	0	1	0.7429	0	0	0.6583
PIKFYVE	15	36	3	3	6	0.8489	1.0474	1.0474	1.4839
RPL37	0	0	0	0	0	0	0	0	0
OR5D14	13	29	0	0	0	1.399	0	0	0
TMUB2	3	3	0	0	1	0.5121	0	0	1.5443
HK1	10	16	0	0	0	0.8284	0	0	0
CCDC91	1	7	2	1	1	1.0559	2.9378	2.9378	1.0109
NT5DC2	2	5	1	0	2	0.7037	1.6537	1.6537	1.8516
RP11-15E18.4	0	4	0	0	0	3.1746	0	0	0
DAPP1	4	12	0	1	1	1.6653	0.9724	0.9724	1.796
KCNG1	16	29	1	0	2	1.2425	1.1063	1.1063	1.9462
APOL2	3	4	2	0	0	0.6203	3.5167	3.5167	0
RFC1	8	17	1	3	3	0.7537	1.4504	1.4504	1.1984
COL12A1	47	116	6	4	8	0.9289	0.6894	0.6894	1.1534
C4orf3	3	6	0	0	1	1.1088	0	0	2.2197
RNF122	2	2	1	1	0	0.617	4.1053	4.1053	0
ZNF823	5	12	3	0	2	0.7649	1.6165	1.6165	1.4236
PLSCR2	6	17	0	2	1	1.6378	1.3697	1.3697	1.5377
ZNF461	9	25	2	0	2	1.4396	0.9413	0.9413	1.3832
MRAP	1	3	1	0	1	1.0047	2.9596	2.9596	2.6374
HIST1H4H	5	7	0	0	1	1.073	0	0	2.8868
PKDREJ	22	42	1	0	5	0.872	0.3355	0.3355	1.0213
SSTR1	7	18	1	0	1	1.5938	2.316	2.316	1.3088
UGT1A6	5	17	1	0	2	1.4018	0.9286	0.9286	1.7816
HSF1	1	10	0	0	1	1.7054	0	0	0.9101
CD22	9	25	3	0	2	1.4459	1.5085	1.5085	1.4142
SPIB	6	8	0	0	1	0.94	0	0	1.8623
SSBP1	0	3	1	0	1	1.474	2.2427	2.2427	3.0072
TIFAB	11	4	1	0	0	0.4258	1.7497	1.7497	0
RNPEPL1	2	11	0	0	1	1.5868	0	0	0.8243
CALCRL	10	20	2	2	2	1.2213	1.6035	1.6035	1.7968
EFCC1	7	19	2	0	2	1.2989	2.2006	2.2006	1.5377
ASMT	6	14	0	0	0	1.3643	0	0	0
HP1BP3	3	10	0	0	1	1.1887	0	0	0.8543
SOX13	0	9	0	0	1	1.906	0	0	0.6352
SNRNP35	2	6	0	0	1	1.2075	0	0	1.8645
DYSF	40	68	5	6	4	0.8802	1.3767	1.3767	0.9711
FBXO43	8	15	0	0	0	0.8006	0	0	0
EIF3L	2	7	2	1	0	1.0681	3.8327	3.8327	0
PAQR8	1	9	1	0	1	1.861	3.4113	3.4113	1.2366
ALOX12B	12	11	1	1	1	0.5556	1.037	1.037	0.6983
ONECUT1	2	15	1	0	0	2.1393	3.3906	3.3906	0
DCC	37	115	11	4	1	1.3496	1.3912	1.3912	0.2605
ZNF576	4	6	0	0	1	0.8498	0	0	2.5396
OR6C4	11	11	0	0	1	0.7645	0	0	1.3851
PIP5K1A	3	16	0	2	1	1.8471	2.0973	2.0973	0.9392
CXorf30	11	32	1	2	1	1.5987	1.3387	1.3387	0.7869
RP11-131H24.4	2	5	1	0	0	2.6252	3.9712	3.9712	0
ATAD3A	7	8	0	0	0	0.6049	0	0	0
ZNF816	6	16	0	0	0	0.9633	0	0	0
TIMM17B	1	6	1	1	0	1.7565	5.0771	5.0771	0
UBE2K	0	3	0	0	1	1.3041	0	0	2.3072
PTPLB	2	2	0	0	1	0.5338	0	0	1.8625
CLVS2	6	23	0	1	0	1.8613	0.9121	0.9121	0
SSPN	3	5	1	0	1	1.1709	3.8864	3.8864	2.055
MYOT	4	10	4	0	0	0.8079	2.5716	2.5716	0
FIS1	1	6	0	0	0	2.5609	0	0	0
ZMYND15	5	8	2	0	2	0.6403	1.6092	1.6092	1.214
USP22	7	9	0	2	2	0.7535	1.5025	1.5025	1.7105
MTX3	4	3	2	0	0	0.4572	2.3551	2.3551	0
FAM212B	1	7	0	0	1	1.5325	0	0	1.5545
MAFB	4	7	1	0	1	1.064	5.0394	5.0394	1.5632
ARL2	0	6	0	0	0	2.6894	0	0	0
ZNF500	6	7	1	0	1	0.4741	0.8989	0.8989	0.7454
NEIL3	7	12	1	1	2	0.6606	1.1499	1.1499	1.4644
SH3BGRL	0	4	0	0	0	3.1596	0	0	0
C5orf52	3	6	2	0	0	1.2826	5.385	5.385	0
SERPINI2	13	20	3	1	2	1.0832	1.5489	1.5489	1.9338
FAM171B	7	29	1	1	2	1.5752	1.1189	1.1189	1.0611
SLC34A3	13	13	0	0	1	0.8006	0	0	0.8097
GGTLC3	0	0	0	0	0	0	0	0	0
AQP5	2	10	1	0	0	2.1795	4.2748	4.2748	0
VSTM5	5	2	0	0	0	0.3549	0	0	0
CEP85L	9	19	4	0	3	0.8191	1.19	1.19	1.6527
SSU72	1	4	0	0	1	1.0401	0	0	2.7222
CASP16	0	4	0	0	1	1.4955	0	0	2.4443
SMG9	5	12	0	0	1	1.0456	0	0	0.7665
ADAMTS4	10	19	0	0	1	0.9154	0	0	0.5165
XPO5	12	23	1	0	2	0.9029	0.2764	0.2764	0.7727
GNAI1	5	8	0	0	1	0.8646	0	0	1.1673
HSPB9	4	1	0	0	0	0.2242	0	0	0
PPP1R14C	2	5	0	0	1	1.3157	0	0	2.3451
SRSF5	3	6	0	0	1	0.8145	0	0	1.4036
SMOC1	8	12	0	0	0	0.8551	0	0	0
TRIM69	2	12	0	0	0	1.6852	0	0	0
ZNF616	10	22	2	1	3	0.8171	1.0292	1.0292	1.7544
SIRT5	2	3	0	0	1	0.6268	0	0	1.6268
ARHGEF12	6	31	4	1	4	1.409	1.5936	1.5936	1.2845
TRPM1	24	37	3	2	4	0.72	0.8951	0.8951	1.0265
EAF2	1	3	0	0	1	0.6378	0	0	1.9489
FAM156A	0	0	0	0	0	0	0	0	0
FAM156B	0	0	0	0	0	0	0	0	0
FBXO5	4	11	2	1	1	1.2792	2.985	2.985	0.9401
CD55	2	8	0	0	1	1.0757	0	0	1.1131
MYL6B	3	8	1	0	1	1.6422	1.9354	1.9354	2.1691
AWAT2	2	8	0	2	1	1.3379	3.1463	3.1463	1.4602
SLC6A18	18	15	1	2	0	0.5976	1.3644	1.3644	0
PCDHGC3	8	21	2	0	3	1.2114	2.0434	2.0434	1.5076
FAM120AOS	3	3	0	0	1	0.5496	0	0	1.7729
PPEF1	13	13	3	0	1	0.5818	1.0099	1.0099	0.7565
WBP1L	2	9	0	0	1	1.2883	0	0	1.3756
MMEL1	8	21	3	2	1	1.2698	2.5053	2.5053	0.5956
SYT1	12	26	1	1	0	1.7395	1.3261	1.3261	0
C22orf39	2	3	0	0	1	0.8241	0	0	2.7533
PDCD4	1	7	0	1	2	1.1565	1.4837	1.4837	2.2677
TMEM63B	12	17	0	3	3	0.8583	1.4524	1.4524	1.5924
RTBDN	0	9	1	0	0	2.6313	3.143	3.143	0
DPP6	23	33	5	2	2	0.8139	1.4476	1.4476	0.9916
RTN4IP1	6	4	1	0	0	0.371	0.7138	0.7138	0
AL161450.1	0	0	0	1	0	0	9.249	9.249	0
SFPQ	5	15	0	0	1	0.9863	0	0	0.6345
PREB	5	10	0	0	1	1.0499	0	0	1.1923
ARFGAP2	2	9	0	0	1	1.2982	0	0	0.9705
RSBN1	9	13	1	0	2	0.6135	0.5166	0.5166	1.1347
HGS	7	22	0	1	1	1.6695	0.7156	0.7156	0.646
CCR3	9	20	1	0	1	1.5776	1.1063	1.1063	1.3851
TMEM189	5	4	2	0	0	0.4821	2.2073	2.2073	0
C15orf59	6	6	1	0	1	0.5693	1.4952	1.4952	1.5364
PSMC5	2	3	0	0	1	0.4908	0	0	1.1293
TMEM47	2	7	0	0	0	2.3414	0	0	0
FLYWCH1	10	13	0	0	0	0.699	0	0	0
CFHR4	15	43	4	1	2	1.3206	1.1428	1.1428	1.5523
SETD1A	26	41	3	0	4	0.7516	0.8174	0.8174	1.1703
PHLDB2	11	44	1	2	2	1.536	1.078	1.078	0.7352
ZNF484	2	13	2	0	3	1.2349	1.8759	1.8759	1.6571
STARD10	4	8	0	0	1	1.2114	0	0	1.6622
PNLIP	6	21	2	2	1	1.5146	2.2583	2.2583	0.9366
ARFIP1	4	12	0	0	0	1.3315	0	0	0
MYH15	29	59	9	3	4	0.9225	1.4049	1.4049	1.0701
C7orf57	1	8	1	1	1	1.5384	2.9197	2.9197	1.5307
TOPBP1	7	22	6	0	2	1.0113	2.1634	2.1634	0.6635
TRIM59	3	5	0	0	1	0.64	0	0	1.2346
ZNF321P	0	3	1	0	1	1.172	3.5784	3.5784	2.2689
FBXO17	2	4	0	0	1	0.7107	0	0	1.8775
SLC13A4	14	15	3	1	1	0.7903	2.0144	2.0144	0.7626
SH2B1	7	13	1	0	3	0.834	0.8728	0.8728	1.8666
CLDND1	5	5	1	1	1	0.7176	2.2758	2.2758	1.4693
PUS3	1	2	0	0	0	0.3027	0	0	0
AC006486.1	1	3	0	0	1	1.0615	0	0	3.1882
LMF1	2	12	0	0	0	1.8106	0	0	0
CCDC38	4	12	2	1	2	1.0114	1.8071	1.8071	1.7607
HK3	12	35	1	0	0	1.5389	0.5536	0.5536	0
TRNP1	3	2	0	0	0	0.2949	0	0	0
FBXW9	6	5	0	0	0	0.4886	0	0	0
CDK5RAP1	4	20	2	0	0	2.0089	1.95	1.95	0
GPANK1	0	7	0	0	1	1.8573	0	0	1.1721
HIST1H3C	1	9	0	0	0	2.4352	0	0	0
TOX3	10	15	3	0	2	0.8897	1.6694	1.6694	1.6894
EPS8L1	7	15	0	0	1	0.9854	0	0	0.6763
TBXAS1	7	19	0	1	2	1.36	0.7154	0.7154	1.606
ADCY4	23	28	2	2	3	0.7684	1.1226	1.1226	1.3259
MCL1	2	9	0	0	1	1.6426	0	0	1.3635
PARP10	9	14	1	0	3	0.7175	0.7506	0.7506	1.555
GABRR2	0	12	1	0	0	2.5584	2.4628	2.4628	0
C1orf147	4	8	0	0	1	1.2777	0	0	1.7625
CECR5	7	8	0	0	1	0.773	0	0	1.169
REN	4	10	0	1	2	1.2006	1.0184	1.0184	2.2458
SHPRH	12	34	3	1	6	0.9625	0.8783	0.8783	1.6165
STIP1	2	8	1	2	1	1.2269	3.1198	3.1198	0.8835
OR13H1	6	9	0	0	1	0.7558	0	0	1.3518
NDUFS4	2	7	0	0	0	2.1201	0	0	0
EPHA4	18	39	5	1	3	1.1526	1.5957	1.5957	1.4214
MAOA	7	12	2	1	2	0.8254	1.5777	1.5777	1.6384
TLE2	11	17	1	0	3	0.9031	0.5569	0.5569	1.742
ZNF550	1	9	2	0	0	1.8828	4.5474	4.5474	0
GCAT	7	13	0	0	1	1.1647	0	0	1.0614
CHRNB3	12	19	0	1	2	1.0469	0.6092	0.6092	2.0985
SSTR5	4	4	1	0	0	0.5213	4.7663	4.7663	0
DTD2	0	3	0	0	1	1.4308	0	0	2.7315
VN1R2	9	23	2	0	0	1.7028	2.6064	2.6064	0
SLC39A1	6	11	0	0	1	1.3143	0	0	1.4846
AC092850.1	2	11	0	0	0	1.9143	0	0	0
SRPRB	1	2	0	1	1	0.4753	1.8985	1.8985	1.6513
KRTAP12-3	1	8	1	0	0	2.2391	5.2618	5.2618	0
RPL36A-HNRNPH2	0	5	0	0	0	2.8128	0	0	0
RBFA	6	10	0	0	1	1.0352	0	0	1.2326
RABL6	2	13	0	0	1	1.5265	0	0	0.7085
ZNF182	6	11	3	1	0	0.7521	2.3324	2.3324	0
BLM	9	22	2	2	4	0.8774	1.5179	1.5179	1.3687
CTDSPL	5	6	0	0	1	0.7406	0	0	1.6342
FCGR2A	4	7	0	0	1	0.9954	0	0	1.7447
RASAL3	17	36	3	2	3	1.0193	1.7198	1.7198	1.3522
MAGEE2	12	31	1	0	0	1.5496	0.5443	0.5443	0
ZNF106	8	36	4	1	6	1.1832	1.5032	1.5032	1.4092
LY86	4	11	0	1	0	2.2522	1.5538	1.5538	0
TMEM260	4	15	3	1	1	1.3461	2.7767	2.7767	0.6958
SLC26A5	12	22	1	0	2	0.8867	0.3222	0.3222	1.1225
MYC	5	16	0	0	0	1.6417	0	0	0
PPFIBP2	11	14	4	0	2	0.663	1.3608	1.3608	0.8927
RPL14	4	6	0	0	1	1.1778	0	0	1.632
KLK3	6	13	0	0	0	1.3937	0	0	0
RAB28	5	7	1	1	1	1.3256	2.2752	2.2752	2.157
PARN	4	14	1	0	2	1.3544	0.5903	0.5903	1.5268
BCAS4	1	5	1	0	1	1.4392	2.7344	2.7344	2.4642
WDR62	22	36	1	0	1	0.8156	0.2575	0.2575	0.3118
HLA-DQB1	3	6	0	0	1	0.975	0	0	2.0111
MS4A10	11	10	0	0	0	0.7713	0	0	0
REEP1	9	7	1	2	0	0.8171	3.1704	3.1704	0
RARB	3	9	1	0	2	1.2384	0.9634	0.9634	2.191
DNAH6	60	168	19	7	11	0.9972	1.1933	1.1933	1.2801
POLR2E	3	5	0	0	1	1.1279	0	0	2.2655
B3GALNT2	3	7	0	0	1	0.877	0	0	0.9905
FAM161B	6	11	0	0	1	0.7921	0	0	0.6548
CSF3R	13	18	2	0	3	0.8073	0.8497	0.8497	1.734
ZNF19	4	11	0	0	1	1.1321	0	0	1.043
ZFYVE26	16	41	6	2	4	1.0179	1.8477	1.8477	0.7894
TVP23C	1	2	0	0	1	0.4997	0	0	1.6024
ITFG3	4	17	1	0	1	1.8512	1.3382	1.3382	0.8741
IGLON5	5	8	0	0	1	0.832	0	0	1.432
ZNF766	7	11	1	1	2	0.8212	1.0289	1.0289	2.1539
FAAH2	2	19	1	1	0	2.1631	1.9044	1.9044	0
IL15RA	5	5	0	1	1	0.5442	1.318	1.318	1.5978
KAL1	3	14	3	1	0	1.5515	3.1803	3.1803	0
STYX	2	7	0	1	1	1.7875	1.183	1.183	2.0678
RNF185	2	3	0	0	1	0.8983	0	0	2.5877
EHD2	12	10	1	0	1	0.567	1.0636	1.0636	0.9367
CARNS1	8	17	0	0	2	1.0372	0	0	1.0443
SPATA17	4	13	1	1	2	1.1512	1.0151	1.0151	2.2666
SPC25	0	6	0	0	0	2.2962	0	0	0
AF165138.7	1	10	1	0	0	2.5273	1.5895	1.5895	0
CASP9	6	10	0	0	1	0.9864	0	0	1.2558
RPS6KA4	11	17	1	0	3	0.8309	0.6387	0.6387	1.7318
PPA2	3	5	1	2	0	0.8105	3.253	3.253	0
FBXW8	10	16	0	0	0	0.8874	0	0	0
DNAJB5	4	15	2	0	1	1.6256	2.8703	2.8703	0.9079
AKAP9	29	78	12	1	10	0.8404	0.986	0.986	1.2521
EYA2	9	25	0	1	1	1.5069	0.6061	0.6061	0.8789
TNFRSF10D	9	11	0	0	0	0.7434	0	0	0
MAPT	6	20	0	0	0	1.3771	0	0	0
CNPY4	0	5	1	0	1	1.8176	2.4691	2.4691	2.072
OR6C6	5	14	0	0	1	1.4324	0	0	1.2031
SH3GL2	5	12	2	1	1	1.4476	2.3975	2.3975	1.3051
SARS	3	14	1	0	1	1.8838	1.1182	1.1182	0.9989
SLC35F4	13	13	0	0	0	0.7996	0	0	0
MYL2	4	4	0	1	1	0.7474	1.8104	1.8104	2.8399
RFPL4B	7	15	0	0	0	1.6433	0	0	0
LAIR1	6	6	0	0	0	0.5761	0	0	0
FOXO4	9	12	0	0	1	0.7617	0	0	0.8363
CFC1B	0	0	0	0	0	0	0	0	0
RP11-89N17.1	4	5	1	0	1	1.1368	3.7686	3.7686	2.0302
AC129492.6	2	3	0	0	1	0.7893	0	0	2.9212
CREM	3	10	0	0	0	1.4165	0	0	0
NKX2-4	16	15	0	0	1	0.7435	0	0	1.1813
HELT	4	4	0	0	1	0.5448	0	0	1.3014
OR10D3	8	21	0	0	0	1.5837	0	0	0
PSMG2	4	2	0	0	0	0.3474	0	0	0
TUBAL3	10	11	1	0	2	0.7976	0.988	0.988	2.0782
MRPS28	0	7	0	0	0	2.6503	0	0	0
OTUD6B	3	15	1	0	0	2.142	1.1503	1.1503	0
IGSF10	33	63	7	0	4	0.7463	1.089	1.089	0.6813
TIPARP	8	11	3	0	1	0.6741	1.8464	1.8464	0.7532
OR13F1	9	22	1	0	1	1.5787	1.2032	1.2032	1.272
OR4K1	13	31	4	0	0	1.2369	2.9572	2.9572	0
DESI1	0	6	1	0	0	2.7081	4.0974	4.0974	0
FCN1	9	14	0	0	0	0.9969	0	0	0
MBOAT7	11	8	0	1	1	0.5483	0.9535	0.9535	1.034
MRPL46	2	6	0	0	1	1.1909	0	0	1.786
ACTL10	0	8	0	0	0	2.6409	0	0	0
PTGDR2	4	7	1	0	1	0.8793	5.1604	5.1604	1.2505
EIF3E	6	13	1	0	2	1.1911	0.6846	0.6846	1.9972
SLC26A1	8	13	0	0	2	0.9089	0	0	1.4466
SLC39A5	8	9	0	0	1	0.732	0	0	0.7754
C2orf54	7	15	0	0	1	1.2577	0	0	1.1326
SHISA4	2	7	0	0	1	1.2608	0	0	2.0188
GNE	5	16	0	0	0	1.2049	0	0	0
DNASE2	6	9	0	0	1	1.1625	0	0	1.4056
KRT35	4	12	0	1	2	1.1774	1.1918	1.1918	2.2304
CSPG4	15	45	2	0	4	1.4474	1.1519	1.1519	0.9038
WNT3A	9	15	0	0	1	1.1834	0	0	1.1374
DOCK5	21	31	2	1	3	0.7057	0.5275	0.5275	0.756
KCNE3	0	0	0	0	0	0	0	0	0
ZNF195	5	8	3	0	0	0.5918	1.9979	1.9979	0
